9396	81	4344	3562	6276	2944
880	2852	643	7823	1123	2824
9401	8989	7771	5991	7247	4408
9620	8890	562	1292	7276	8082
9784	6674	9953	402	5900	4293
8610	6942	5804	1362	9412	9337
2210	6843	2640	2914	7594	4389
5377	5125	2936	2453	6145	6527
249	4146	9546	612	3889	9502
9754	8964	2567	7518	7133	123
1569	3367	1835	5305	3592	9663
2504	6424	8755	756	7909	3627
5661	4494	2905	7000	616	7157
7477	4254	4182	5381	2852	5190
3738	9079	404	1407	950	8493
3248	1358	240	5374	2817	6345
9094	774	4451	1878	4725	1432
2311	9072	7745	4783	6853	9396
2927	7593	8227	2533	5338	6765
2827	6138	8929	4338	4106	3896
2155	8800	8813	9258	8832	4697
5002	2800	6052	7163	9665	1346
7803	21	7621	4817	9008	5607
2393	1454	8763	7319	5616	4176
119	6588	7941	1936	5790	9867
8927	2675	9590	7228	3376	1958
5219	3783	7857	3392	322	5956
6456	7479	2923	8741	3321	4401
5670	2312	9173	2028	7953	8389
5731	6602	8142	6370	8819	1112
7373	8653	1194	4699	3868	5946
4618	9153	1169	7438	879	807
634	721	1072	1901	3128	9264
305	7504	7037	1809	5883	4889
5420	3815	9770	2698	2890	9563
9833	7179	9782	5330	7880	7449
4313	2247	5523	6266	3857	2681
1913	5946	1562	7904	5096	3753
8122	8455	3955	7960	8175	1574
8410	5291	1930	1357	3912	5053
7837	3456	3848	7782	2183	1250
3226	8731	5597	79	2554	3719
4559	7109	1989	4250	3945	9572
6339	6654	2338	3282	6759	225
9607	9846	5810	205	9565	4813
5208	1493	6895	252	4647	4775
1427	8875	4481	3084	5222	8232
4557	8128	2104	1087	6135	603
8900	8466	5909	6026	3605	3715
4392	635	3014	4644	9780	2996
383	3548	8742	8350	4010	4191
7693	207	8866	4385	4593	2464
1496	362	6261	9776	9385	9929
2444	7783	8501	7396	3085	6185
6368	4337	1427	4757	415	1374
6921	5306	8643	5468	2501	721
6018	3599	1351	9681	1077	1269
5991	180	1903	6424	5741	7600
641	3043	1166	8436	2549	2775
2823	9431	6656	827	4650	8894
4259	2326	4185	7929	383	854
5323	9185	2530	5186	1946	2944
3400	370	3885	1931	9056	6020
768	9736	7684	1987	6658	5480
1953	558	2848	27	6456	7673
8965	6076	5574	4498	9300	3996
7434	8749	2540	1981	5807	1974
2256	6678	7800	5139	9042	9858
5212	823	3733	7396	6402	8892
4454	3035	2153	7851	3189	996
1894	6839	5664	5665	2347	450
